3 Ninjas Kick Back  [SNES]
Abadox  [NES]
ActRaiser   [SNES]
ActRaiser 2   [SNES]
Addams Family, The  [NES]
Adventure Island  [NES]
Adventure Island II  [NES]
Adventure Island III  [NES]
Adventures of Batman and Robin, The   [SMD]
Adventures of Lolo  [NES]
Adventures of Lolo 2  [NES]
Adventures of Lolo 3  [NES]
Aero the Acro-Bat   [SMD]
Aero the Acro-Bat 2   [SMD]
Akumajou Special - Boku Dracula-kun  [NES]
Aladdin   [SNES]
Alien 3   [SNES]
Alien Soldier   [SMD]
Alisia Dragoon   [SMD]
Ardy Lightfoot  [SNES]
Assault Suits Valken / Cybernator [SNES]
Asterix   [GameBoy]
Astyanax  [NES]
Atlantis no Nazo  [NES]
Awesome Possum Kicks Dr. Machino's Butt!   [SMD]
B.O.B    [SMD]
Banana Prince [NES]
Bare Knuckle III   [SMD]
Batman  [GameBoy]
Batman  [NES]
Batman Beyond - Return of the Joker [GameBoy]
Battletoads   [NES]
Battletoads & Double Dragon - The Ultimate Team  [NES]
Battletoads in Battlemaniacs   [SNES]
Battletoads in Ragnarok's World  [GameBoy]
Bionic Commando  [NES]
Bishoujo Senshi Sailor Moon R [SNES]
Blades of Vengeance   [SMD]
Blaster Master  [NES]
Blaster Master 2   [SMD]
Blaster Master Boy [GameBoy]
Blaster Master: Enemy Below [GameBoy]
Boogerman   [SMD]
Bram Stoker's Dracula   [SMD]
Bubba N Stix   [SMD]
Bubble Ghost [GameBoy]
Bubsy in Claws Encounters of the Furred Kind   [SMD]
Bucky O'Hare  [NES]
Bugs Bunny in Double Trouble   [SMD]
Captain America and The Avengers  [NES]
Castelian  [GameBoy]
Castle of Dragon  [NES]
Castlequest  [NES]
Castlevania   [NES]
Castlevania - Bloodlines   [SMD]
Castlevania - Dracula X   [SNES]
Castlevania - Legends  [GameBoy]
Castlevania Adventure, The  [GameBoy]
Castlevania II - Belmont's Revenge  [GameBoy]
Castlevania II - Simon's Quest  [NES]
Castlevania III - Dracula's Curse  [NES]
Championship Lode Runner  [NES]
Cocoron [NES]
Code Name - Viper  [NES]
Comix Zone   [SMD]
Congo's Caper [SNES]
Contra  [NES]
Contra - Hard Corps   [SMD]
Contra - The Alien Wars  [GameBoy]
Contra III - The Alien Wars   [SNES]
Cool Spot   [SMD]
Croc 2 [GameBoy]
Cybernator  [SNES]
Daffy Duck - The Marvin Missions  [GameBoy]
Darkwing Duck  [NES]
Demolition Man  [SNES]
Demon's Crest   [SNES]
Disney's Mickey To Donald Magical Adventure 3 [SNES]
Donkey Kong Country    [SNES]
Donkey Kong Country 2 - Diddy's Kong Quest    [SNES]
Donkey Kong Country 3 - Dixie Kong's Double Trouble   [SNES]
Doom Troopers - The Mutant Chronicles [SMD]
DoReMi Fantasy: Milon no DokiDoki Daibouken [SNES]
Double Dragon II - The Revenge   [NES]
Double Dragon III - The Sacred Stones  [NES]
Dr. Chaos  [NES]
Dragon's Lair   [SNES]
Dragon's Lair [GameBoy]
Duck Tales  [NES]
Duck Tales 2  [NES]
Duke Nukem [GameBoy]
Earthworm Jim   [SMD]
Earthworm Jim - Menace 2 the Galaxy [GameBoy]
Earthworm Jim 2   [SMD]
Equinox  [SNES]
Extreme Ghostbusters [GameBoy]
Fantasia    [SMD]
Fantastic Dizzy    [SMD]
Firemen, The  [SNES]
Flappy  [NES]
Frankenstein - The Monster Returns  [NES]
Front Mission - Gun Hazard [SNES]
Ganbare Goemon: Hoshizorashi Dynamites Arawaru!! [GameBoy]
Gargoyles   [SMD]
Gargoyle's Quest II - The Demon Darkness  [NES]
Gauntlet 4  (Aug 1993)  [SMD]
Gensan 2 [GameBoy]
Getsufuu Maden  [NES]
Ghostbusters II  [GameBoy]
Ghosts 'N Goblins  [GameBoy]
Ghosts 'N Goblins  [NES]
Ghoul Patrol  [SNES]
Ghouls 'N Ghosts    [SMD]
Gimmick!  [NES]
Gods   [SMD]
Golden Axe    [SMD]
Golden Axe II   [SMD]
Golden Axe III   [SMD]
Goonies II, The  [NES]
Gradius  [NES]
Gremlins 2 - The New Batch  [GameBoy]
Gunstar Heroes   [SMD]
Hagane  [SNES]
Hamtaro: Ham-Hams Unite! [GameBoy]
Haunting Starring Polterguy   [SMD]
Heavy Barrel  [NES]
Hebereke  [NES]
Holy Diver  [NES]
Hudson Hawk  [NES]
Ikari Warriors   [NES]
Incredible Hulk, The   [SMD]
Indiana Jones' Greatest Adventures   [SNES]
Ironman - X-O Manowar in Heavy Metal  [GameBoy]
Jackal  [NES]
Jackie Chan's Action Kung Fu  [NES]
Jetsons, The - Cogswell's Caper!  [NES]
Joe & Mac - Caveman Ninja  [NES]
Journey to Silius  [NES]
Judge Dredd   [SNES]
Jungle Book, The   [SMD]
Jurassic Boy 2 [GameBoy]
Jurassic Park  [NES]
Kabuki - Quantum Fighter  [NES]
Karnov  [NES]
Kid Chameleon   [SMD]
Kid Dracula  [GameBoy]
Kid Icarus  [NES]
Kid Kool and the Quest for the 7 Wonder Herbs  [NES]
King of Dragons, The   [SNES]
Kirby's Adventure   [NES]
Kirby's Dream Land 3  [SNES]
Kyatto Ninden Teyandee  [NES]
Layla  [NES]
Legend of Kage, The  [NES]
Legend of Zelda, The   [NES]
Legend of Zelda, The - A Link to the Past   [SNES]
Life Force  [NES]
Lion King, The  [SNES]
Little Nemo - The Dream Master  [NES]
Little Samson  [NES]
Lode Runner  [NES]
Looney Tunes [GameBoy]
Lucky Luke   [SNES]
Lunar Ball  [NES]
Magical Doropie [NES]
Magical Pop'n  [SNES]
Magical Quest Starring Mickey Mouse, The   [SNES]
Magical Taluluto-kun  [SMD]
Majou Densetsu II - Daimashikyou Galious [NES]
Makaimura  [NES]
Marko's Magic Football  [SNES]
Maui Mallard in Cold Shadow  [SNES]
Mega Man VII  [SNES]
Mega Man X    [SNES]
Mega Man X 2   [SNES]
Mega Man X 3   [SNES]
Mega Turrican   [SMD]
Megaman  [NES]
Megaman - Dr. Wily's Revenge  [GameBoy]
Megaman II  [GameBoy]
Megaman II  [NES]
Megaman III  [GameBoy]
Megaman III  [NES]
Megaman IV   [NES]
Megaman IV  [GameBoy]
Megaman V  [GameBoy]
Megaman V  [NES]
Megaman VI  [NES]
Megaman Xtreme  [GameBoy]
Megaman Xtreme 2  [GameBoy]
Mercenary Force  [GameBoy]
Metal Gear  [NES]
Metal Gear Solid [GameBoy]
Metal Warriors  [SNES]
Metroid  [NES]
Mickey Mania   [SNES]
Mickey Mousecapade  [NES]
Mighty Bomb Jack  [NES]
Mighty Final Fight  [NES]
Milon's Secret Castle  [NES]
Monster in My Pocket  [NES]
Monster World IV [SMD]
Moon Crystal[NES]
Mutant Chronicles: Doom Troopers [SNES]
New Ghostbusters II  [NES]
Ninja Gaiden  [NES]
Ninja Gaiden II - The Dark Sword of Chaos  [NES]
Ninja Gaiden III - The Ancient Ship of Doom  [NES]
Ninja Spirit [GameBoy]
Nosferatu  [SNES]
Oddworld Adventures II [GameBoy]
Pagemaster, The  [SNES]
Parodius da!  [NES]
Phantom 2040   [SMD]
Pirates of Dark Water, The   [SMD]
Pitfall - The Mayan Adventure   [SMD]
Plok [SNES]
Pocky & Rocky   [SNES]
Popeye - Ijiwaru Majo Sea Hag no Maki  [SNES]
Power Blade 2  [NES]
Prehistorik Man   [SNES]
Prince of Persia  [NES]
Prince of Persia  [SNES]
Prince of Persia 2 - The Shadow & The Flame  [SNES]
Quack Shot Starring Donald Duck    [SMD]
Radical Rex   [SMD]
Rayman [GameBoy]
Real Ghostbusters, The  [GameBoy]
Ristar   [SMD]
RoboCop 2   [NES]
RoboCop 3  [NES]
Robocop Versus The Terminator   [SMD]
Rocket Knight Adventures   [SMD]
Rockin' Kats  [NES]
Rockman & Forte [SNES]
Run Saber [SNES]
Rush'n Attack  [NES]
Saiyuuki World  [NES]
Saiyuuki World 2 - Tenjoukai no Majin  [NES]
Shadow Dancer - The Secret of Shinobi  [p1] [SMD]
Shantae  [GameBoy]
Shatterhand  [NES]
Shinobi III - Return of the Ninja Master   [SMD]
Shounen Ashibe [SNES]
Silver Surfer  [NES]
Skeleton Krew   [SMD]
Sky Blazer   [SNES]
Smurfs, The    [SMD]
Snake Rattle N Roll  [NES]
Snow Bros.  [NES]
Soldiers of Fortune   [SMD]
Solomon's Key  [NES]
Sonic and Knuckles & Sonic 3   [SMD]
Sonic The Hedgehog    [SMD]
Sonic The Hedgehog 2    [SMD]
Sparkster   [SMD]
Splatterhouse 3   [SMD]
Spot Goes to Hollywood    [SMD]
Stormlord   [SMD]
Street Fighter 2010 - The Final Fight  [NES]
Streets of Rage 2   [SMD]
Strider   [SMD]
Sunset Riders   [SNES]
Super Adventure Island 2 [SNES]
Super Bomberman  [SNES]
Super Bomberman 2   [SNES]
Super Bomberman 4  [SNES]
Super Bomberman 5 [SNES]
Super C  [NES]
Super Castlevania IV   [SNES]
Super Ghouls 'N Ghosts   [SNES]
Super Mario Bros.  [NES]
Super Mario Bros. 2   [NES]
Super Mario Bros. 2 (Japan) [NES]
Super Mario Bros. 3   [NES]
Super Mario Bros. Deluxe [GameBoy]
Super Mario Land  [GameBoy]
Super Mario Land 2 - 6 Golden Coins   [GameBoy]
Super Mario World   [SNES]
Super Mario World 2 - Yoshi's Island    [SNES]
Super Metroid (JU)  [SNES]
Super Spy Hunter  [NES]
Super Star Wars    [SNES]
Super Turrican  [SNES]
Super Turrican 2   [SNES]
Super Valis IV  [SNES]
Super Widget  [SNES]
Taz-Mania   [SMD]
Teenage Mutant Ninja Turtles  [NES]
Teenage Mutant Ninja Turtles - The Hyperstone Heist   [SMD]
Teenage Mutant Ninja Turtles II - The Arcade Game  [NES]
Teenage Mutant Ninja Turtles III - The Manhattan Project  [NES]
Teenage Mutant Ninja Turtles IV - Turtles in Time   [SNES]
Terminator 2 - Judgment Day  [NES]
Theme Park   [SMD]
Tintin in Tibet   [SNES]
Tiny Toon Adventures  [NES]
Tiny Toon Adventures - Buster Busts Loose!   [SNES]
Tiny Toon Adventures - Buster's Hidden Treasure   [SMD]
Toki - Going Ape Spit   [SMD]
Tom & Jerry  [NES]
Tomb Raider - Curse of the Sword [GameBoy]
True Lies   [SMD]
Vectorman   [SMD]
Vectorman 2   [SMD]
Vice - Project Doom  [NES]
Wai Wai World  [NES]
Wario Land - Super Mario Land 3  [GameBoy]
Wario Land 3  [GameBoy]
Wario Land II  [GameBoy]
Warlock   [SMD]
Widget  [NES]
Wing of Madoola, The  [NES]
Wizards & Warriors   [NES]
X-Men - Mutant Wars [GameBoy]
X-Men - Wolverine's Rage [GameBoy]
Yo! Noid  [NES]
Yume Penguin Monogatari [NES]
Zelda II - The Adventure of Link  [NES]
Zen - Intergalactic Ninja  [NES]
Zero the Kamikaze Squirrel   [SNES]
Zombies Ate My Neighbors   [SNES]
